_id,person_id,company,coll_name,year_film,year_ceremony,ceremony,category,name,film,winner,movie_id
5f8ed8c5dc50381ff7681027,1027550,false,oscar,2013,2014,86,BEST PICTURE,joey mcfarland,"[""the"",""wolf"",""of"",""wall"",""street""]",false,106646
5f8ed8c5dc50381ff7681058,1032,false,oscar,2013,2014,86,BEST PICTURE,martin scorsese,"[""the"",""wolf"",""of"",""wall"",""street""]",false,106646
5f8ed8c5dc50381ff7681089,62635,false,oscar,2013,2014,86,WRITING (Adapted Screenplay),terence winter,"[""the"",""wolf"",""of"",""wall"",""street""]",false,106646
5f8ed8c5dc50381ff7681137,19665,false,oscar,1972,1973,45,DIRECTING,john boorman,"[""deliverance""]",false,10669
5f8ed8c5dc50381ff768115d,25633,false,oscar,1972,1973,45,FILM EDITING,tom priestley,"[""deliverance""]",false,10669
5f8ed8c5dc50381ff768117e,12346,false,oscar,1970,1971,43,ART DIRECTION,alexander golitzen,"[""airport""]",false,10671
5f8ed8c5dc50381ff768117f,8503,false,oscar,1970,1971,43,MUSIC (Original Score),alfred newman,"[""airport""]",false,10671
5f8ed8c5dc50381ff7681180,40170,false,oscar,1970,1971,43,ART DIRECTION,e. preston ames,"[""airport""]",false,10671
5f8ed8c5dc50381ff768118e,1534172,false,oscar,1970,1971,43,ART DIRECTION,jack d. moore,"[""airport""]",false,10671
5f8ed8c5dc50381ff7681196,4350,false,oscar,1970,1971,43,COSTUME DESIGN,edith head,"[""airport""]",false,10671
5f8ed8c5dc50381ff7681199,9103,false,oscar,1970,1971,43,CINEMATOGRAPHY,ernest laszlo,"[""airport""]",false,10671
5f8ed8c5dc50381ff768119e,24939,false,oscar,1970,1971,43,WRITING (Screenplay--based on material from another medium),george seaton,"[""airport""]",false,10671
5f8ed8c5dc50381ff76811a0,30259,false,oscar,1970,1971,43,FILM EDITING,stuart gilmore,"[""airport""]",false,10671
5f8ed8c5dc50381ff76811a6,47439,false,oscar,1970,1971,43,ACTRESS IN A SUPPORTING ROLE,helen hayes,"[""airport""]",true,10671
5f8ed8c5dc50381ff76811a9,41408,false,oscar,1970,1971,43,BEST PICTURE,ross hunter,"[""airport""]",false,10671
5f8ed8c5dc50381ff76811b3,21151,false,oscar,1970,1971,43,ACTRESS IN A SUPPORTING ROLE,maureen stapleton,"[""airport""]",false,10671
5f8ed8c5dc50381ff76811b4,2118,false,oscar,1970,1971,43,ART DIRECTION,mickey s. michaels,"[""airport""]",false,10671
5f8ed8c5dc50381ff7681202,3392,false,oscar,1987,1988,60,ACTOR IN A LEADING ROLE,michael douglas,"[""wall"",""street""]",true,10673
5f8ed8c5dc50381ff7681261,1760,false,oscar,1998,1999,71,MUSIC (Original Musical or Comedy Score),jerry goldsmith,"[""mulan""]",false,10674
5f8ed8c5dc50381ff768126e,129889,false,oscar,1998,1999,71,MUSIC (Original Musical or Comedy Score),matthew wilder,"[""mulan""]",false,10674
5f8ed8c5dc50381ff76813c8,7,false,oscar,2008,2009,81,ANIMATED FEATURE FILM,andrew stanton,"[""wall"",""e""]",true,10681
5f8ed8c5dc50381ff76813cb,670,false,oscar,2008,2009,81,SOUND EDITING,ben burtt,"[""wall"",""e""]",false,10681
5f8ed8c5dc50381ff76813e1,12890,false,oscar,2008,2009,81,WRITING (Original Screenplay),pete docter,"[""wall"",""e""]",false,10681
5f8ed8c5dc50381ff76813f9,15020,false,oscar,2008,2009,81,WRITING (Original Screenplay),jim reardon,"[""wall"",""e""]",false,10681
